Player Name,DOB,International,Positional Number,Position,Player Image,International Image,Max Game Total Distance,Max Game High Speed Running,Max Game
Youssef,2/14/1996,UAE,#4,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,9
Omar,6/30/1995,UAE,#11,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10786,953,8.62
Khalid,05/05/1995,UAE,#25,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10000,800,8.91
Tariq,01/01/1993,UAE,#9,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12151,1707,9.52
Faisal,3/15/1998,UAE,#12,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,9638,541,9.43
Rami,08/10/1998,UAE,#2,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11216,1045,9.5
Zayd,03/03/1996,UAE,#14,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11331,1283,9.16
Nabil,12/10/1995,UAE,#19,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,9.71
Adel,02/01/1991,UAE,#7,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12176,1046,9.32
Bassel,09/11/1999,UAE,#1,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11013,1099,8.62
Jamal,10/29/1992,UAE,#8,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11471,849,9.25
Samir,4/20/1997,UAE,#13,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10687,833,9.79
Rashid,04/04/1994,UAE,#24,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,9.34
Hassan,03/03/1993,UAE,#23,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12151,1707,8.91
Sami,4/20/2001,UAE,#3,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12151,1707,9.86
Imran,12/18/1994,UAE,#10,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11275,474,9
Nour,10/23/1990,UAE,#6,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11417,1161,9.12
Ayman,8/22/2001,UAE,#16,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12754,716,10.3
Waleed,01/01/1991,UAE,#21,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11275,713,8.92
Anas,02/02/1992,UAE,#22,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,8.91
Majid,11/04/1994,UAE,#18,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10561,962,9.42
Fadi,2/19/1996,UAE,#5,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11417,1161,9.28
Ibrahim,7/21/2000,UAE,#15,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11193,1207,9.79
Salem,12/03/1993,UAE,#17,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10369,695,9.08
Kareem,01/12/1996,UAE,#20,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12754,1192,9.89
