Player Name,DOB,International,Positional Number,Position,Player Image,International Image,Max Game Total Distance,Max Game High Speed Running,Max Game
Youssef,1996-02-14,UAE,#4,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,9.0
Omar,1995-06-30,UAE,#11,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10786,953,8.62
Khalid,1995-05-05,UAE,#25,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,10000,800,8.91
Tariq,1993-01-01,UAE,#9,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12151,1707,9.52
Faisal,1998-03-15,UAE,#12,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,9638,541,9.43
Rami,1998-08-10,UAE,#2,Defender,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11216,1045,9.5
Zayd,1996-03-03,UAE,#14,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11331,1283,9.16
Nabil,1995-12-10,UAE,#19,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,13068,1192,9.71
Adel,1991-02-01,UAE,#7,Forward,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,12176,1046,9.32
Bassel,1999-09-11,UAE,#1,Midfielder,https://cdn-icons-png.flaticon.com/512/2348/2348789.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_the_United_Arab_Emirates_%28updated_colours%29.svg,11013,1099,8.62
